투자금액비중,보유,Ticker,설명,,yahoo,google,현재가격,적정가격,"25년 
적정 EPS","25년 
적정 PER",Fwd PER,적정 PER,목표값-최대,목표값-평균,목표값-중앙,목표값-분석가 의견합 ,구매가,투자금액,평가금액,수익,수익률,상승여력,비중,"
주간가격변화차트",,,,
,0,105560.ks,KB금융지주 보통주,105560,.ks,KRX:,156600,"114,900.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
,0,WIZEY,WISE PLC,WIZEY,,,#N/A,14.24,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,#N/A,#N/A,,,0.00%,,,,,
,0,PODD,Insulet Corporation,PODD,,NASDAQ:,142.43,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,323.60,,,,,0,0.00,,,0.00%,,,,,
,0,329180.ks,에이치디현대중공업보통주,329180,.ks,KRX:,673000,"344,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
,0,COHR,Coherent Corp.,COHR,,,426.89,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
,0,AIBGY,AIB Group PLC,AIBGY,,,23.69,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
18.75%,43,RKLB,"Rocket Lab USA, Inc.",RKLB,,,$123.32,,-0.38,,,,,$150.00,,,$118.81,"$5,108.83","$5,302.76",$193.93,3.80%,21.63%,18.75%,,,,,
0.00%,0,035720.ks,카카오보통주,035720,.ks,KRX:,"42,550.00","46,700.00",0.06,,,,,"48,200",,,"47,350",,,,#DIV/0!,13.28%,0.00%,,,,,
,0,012450.ks,한화에어로스페이스보통주,012450,.ks,KRX:,1070000,"485,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,042660.ks,한화오션보통주,042660,.ks,KRX:,116000,"59,600.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,MRNA,"Moderna, Inc.",MRNA,,NASDAQ:,45.64,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,NBIX,"Neurocrine Biosciences, Inc.",NBIX,,NASDAQ:,154.84,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,005490.ks,포스코홀딩스보통주,005490,.ks,KRX:,399000,"38,400.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,GGAL,Grupo Financiero Galicia S.A.,GGAL,,NASDAQ:,50.33,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,25.39917663,,,
,0,259960.ks,크래프톤보통주,259960,.ks,KRX:,252000,"445,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,011200.ks,에이치엠엠보통주,011200,.ks,KRX:,19510,"22,830.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,009540.ks,에이치디한국조선해양보통주,009540,.ks,KRX:,383500,"287,500.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,PHYS,Sprott Physical Gold Trust ETV,PHYS,,,33.93,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
0.00%,0,IONQ,"IonQ, Inc.",IONQ,,,$71.40,$45.71,-1.54,,,,,$46.29,,,$46.33,$0.00,$0.00,$0.00,#DIV/0!,-35.17%,0.00%,,,,,
12.09%,1000,010140.ks,삼성중공업보통주,010140,.ks,KRX:,"27,700.00",,,,,,,"37,900",,,"5,000","5,000,000","27,700,000","22,700,000",454.00%,36.82%,12.09%,,,,,
